period_start_ins,period_end_ins,component,power,time
0,60,core-alu,0.405378,0.0
60,63,core-alu,0.405378,16.0
63,63,core-alu,0.405378,32.0
63,75,core-alu,0.405378,48.0
75,75,core-alu,0.405378,64.0
75,78,core-alu,0.405378,80.0
78,78,core-alu,0.405378,96.0
78,78,core-alu,0.405378,112.0
78,19919,core-alu,0.439148,128.0
19919,51834,core-alu,0.459685,144.0
51834,88933,core-alu,0.468368,160.0
88933,129394,core-alu,0.474278,176.0
129394,174570,core-alu,0.482542,192.0
174570,223455,core-alu,0.487998,208.0
223455,274035,core-alu,0.491276,224.0
274035,326292,core-alu,0.494972,240.0
326292,380131,core-alu,0.496768,256.0
380131,436566,core-alu,0.501493,272.0
436566,492140,core-alu,0.500987,288.0
492140,548753,core-alu,0.501475,304.0
548753,608118,core-alu,0.505694,320.0
608118,666916,core-alu,0.504509,336.0
666916,725321,core-alu,0.505136,352.0
725321,783909,core-alu,0.505363,368.0
783909,841056,core-alu,0.503463,384.0
841056,899833,core-alu,0.505677,400.0
899833,957881,core-alu,0.504108,416.0
957881,976541,core-alu,0.405378,432.0
976541,1036391,core-alu,0.405482,448.0
1036391,1043297,core-alu,0.405378,464.0
1043297,1073819,core-alu,0.405412,480.0
1073819,1141157,core-alu,0.405378,496.0
1141157,1155766,core-alu,0.405378,512.0
1155766,1167787,core-alu,0.405866,528.0
1167787,1194394,core-alu,0.420126,544.0
1194394,1237517,core-alu,0.425671,560.0
1237517,1294596,core-alu,0.433516,576.0
1294596,1348106,core-alu,0.429855,592.0
1348106,1401783,core-alu,0.427867,608.0
1401783,1451845,core-alu,0.4286,624.0
1451845,1489569,core-alu,0.425043,640.0
1489569,1489569,core-alu,0.417721,656.0
1489569,1489569,core-alu,0.413485,672.0
1489569,1489569,core-alu,0.405378,688.0
1489569,1489569,core-alu,0.405378,704.0
1489569,1489569,core-alu,0.405378,720.0
1489569,1489569,core-alu,0.405378,736.0
1489569,1489569,core-alu,0.405378,752.0
1489569,1489569,core-alu,0.405378,768.0
1489569,1489569,core-alu,0.405378,784.0
1489569,1489569,core-alu,0.405378,800.0
1489569,1489569,core-alu,0.405378,816.0
